gene	logFC	fdr	betweenness	source_node_score	step_1	step_2	nbh_score	score
PDE6B	11.2520145357904	5.12032363254492	235.748025215526	13582.3763380268	1190325.40260727	61210989.3163248	1.29673029230474	45.6048208392177
SH2B2	3.31471520335278	4.05218882912748	1011.06258630758	13580.4429398871	28202481.1597665	51198258.6272056	1.54236625313874	45.5991544711156
CD53	13.7257266356561	6.64597240896192	148.230992405225	13521.7497881188	140779.089492995	41221334.9571512	0.964401448376271	45.4001620013571
AGAP2	3.08292396278509	2.93046225221527	1494.79129084808	13504.5309272355	4844538.8261188	69313544.1500447	1.46834095774854	45.3440445586916
SLC12A6	4.38064848691309	6.53392828960791	469.434585456855	13436.5524737296	87225.7216047705	8026037.91639138	0.298469434940961	45.1118910786716
CPT2	2.30850429017095	3.92312973187213	1482.66118343706	13427.8126613515	12389668.1000216	63113423.0102776	1.48746816056653	45.0865405345233
ATG16L2	2.88760583922193	4.68803917461459	987.075859228063	13362.252496529	2347699.40423786	63466076.4347315	1.34740786307316	44.8659634505031
SDCBP	3.69142978269408	3.5807751727364	990.90662044838	13097.9821889781	4458725.07215162	62505436.9470764	1.3643248704229	43.9787786315458
MTHFR	2.9751757943594	4.9179724263033	890.657408068338	13031.9500276107	937625.077586449	49230526.3656933	1.10819214056326	43.7562272081687
LOC101927402	5.10721662496231	3.91974785721443	648.477857808438	12981.8791576194	3253558.94844909	65047298.6669976	1.38387981484619	43.5890485403076
RAMP1	7.80568741673774	5.0139147945113	330.229273506093	12924.2001236801	178338.300740914	40292937.8941391	0.949400214144905	43.393942521486
PNPLA6	3.71095414776761	4.86141242321571	714.507059982541	12890.049322264	19067864.2097944	54161774.3540491	1.45508098731283	43.2809848780478
COMMD9	2.13822435592616	3.23711402115443	1852.23968844512	12820.6030772978	20469999.4581654	53766167.8072107	1.4694540259524	43.0478794386087
ACAA1	2.53569682712679	4.78414114196461	1051.50174899472	12755.906004473	23438066.4594368	52892872.8142803	1.49919344388954	42.8307701089495
CHST13	6.36441786556961	3.98662243728131	502.115538354916	12739.9420941822	22114100.4395259	53642186.1750252	1.49105811550091	42.7771467424836
GPX1	2.5141992791006	2.97840046704733	1675.05609031699	12543.3096351208	22550681.42154	58703178.5717443	1.56820152624179	42.1172464408374
MAFF	4.45217033371752	3.44447630117525	817.917612404864	12543.0898299563	1437578.40803909	62346422.6554711	1.31735542420157	42.1156663110315
APOL4	13.0696630759848	8.36017071107287	114.634573805189	12525.5025096289	4042779.495432	57557304.766804	1.28472006469568	42.0565103729983
MS4A14	12.3500409472961	5.74105506857372	176.617555377791	12522.5847464098	5795938.01691783	67572619.232245	1.45706799421619	42.047293118447
HAMP	9.12027692870908	3.90318037468651	351.561852132229	12514.9290183424	1807878.04110912	49842301.3225924	1.13166790543418	42.0204978681618
FKBP1A	2.51132457705109	3.16655507419579	1573.10267368559	12509.7019337048	18889149.7882204	58190279.9742638	1.50976412519452	42.0042182325335
MPO	9.24124705255746	4.37855301666363	307.314733285416	12434.9652232815	21602098.4801679	55048457.7910657	1.50371082198244	41.7532823971645
HMG20B	3.30974215814438	5.11585764835712	732.880415337064	12409.2555870891	6193261.73420303	69226563.3255695	1.48628682938445	41.6669082651789
GRK3	3.77394958371744	3.40538176910166	962.053732258343	12364.06357669	20915777.6828631	56039962.4733076	1.50801928718911	41.5152569097308
SLC1A4	2.97423587694995	4.44512445484701	934.319102668474	12352.4914295377	18226074.3513384	54039448.0809567	1.4412616415672	41.4761813102666
OSBPL11	2.32148445475255	4.24621802434329	1252.7566344345	12349.0850230064	10341704.8679109	67678697.6324683	1.52301249332106	41.4650193568056
SLC48A1	3.09756542134089	4.04832970961521	978.255624759164	12267.2923938119	5662408.16813426	63535104.5231121	1.39693722137484	41.1899915479218
CD1A	10.4062046324615	4.46348586129895	263.916275357163	12258.369235355	5985368.77940901	64561885.284004	1.41650371463716	41.160099285771
ADRA2B	12.8626103965621	12.9608491235831	73.4480683488825	12244.5533784943	3594909.7868899	29571899.4433667	0.822634993980297	41.1117211372264
SIDT2	4.8981083066569	6.01706904095834	414.937300742022	12229.1382896943	1138705.78696338	49036647.3032075	1.10830668229607	41.0609267494855
COL8A2	8.66896486922638	4.29375500962992	328.29389290991	12219.8903208405	4419636.5438168	68987799.623318	1.45762390549465	41.0310510736442
GPA33	5.84549783744145	3.66880584179289	567.839542216938	12177.8848997893	1790564.03099468	64521470.9301516	1.35474509417835	40.8896797772785
SLITRK4	11.2810733126973	4.359241484135	246.196864164959	12107.2041753249	22817597.0742633	53860728.3227901	1.50410305385927	40.6528829759409
ADORA3	7.19098951954838	3.32170739414546	506.157804318662	12090.2690787508	6634355.82100806	60390301.9642062	1.36521222893375	40.5955600315187
EFHD2	2.75445239452924	2.89080418313039	1517.87621597927	12086.2146011083	25976349.4251931	51074454.4869954	1.50936038194898	40.582431780059
LIMD2	4.59059900088406	3.87138099740431	677.175018659812	12034.725813343	5143370.49026053	64021297.7165835	1.39645976752507	40.4091880821488
GAPT	8.27692133938587	3.81461009963936	379.844041297443	11992.9024197208	4245914.58107883	67667827.6580919	1.43620650141261	40.268906751704
LCP1	8.53653156740534	4.80077913057806	289.926898575569	11881.7849101671	1373873.99955906	61832244.23385	1.30875069395487	39.8954211201634
GNPTG	3.0983396518745	4.61612471721103	822.601309032676	11765.1090045084	9344167.41892113	69567884.2534019	1.53552519284645	39.5044634066853
SORBS3	2.36695135046188	3.72496736805034	1322.39057720718	11659.2751164136	2944405.21208963	59239760.2370764	1.29347957058905	39.1483319002664
LINC01504	5.24030715106057	4.16637729086056	532.470362974593	11625.4769307322	22030459.0943101	54166120.8880922	1.4972928666032	39.0355446352805
PICALM	3.01389078795192	3.52624812307796	1093.58617966326	11622.3350777341	5438180.36218819	70455237.6538474	1.49300104264842	39.0249820009899
VWA5A	6.0757493341361	5.52533318487359	346.119531388902	11619.419372134	6836679.8289188	58962847.188678	1.34719781047397	39.014703517321
LSP1	12.8201517468376	9.33458538463898	96.5494998026766	11554.1559895932	18368458.6451304	50346083.1977032	1.38990995552881	38.7957364549181
RAPGEF1	3.05867752398942	3.61438302315804	1043.81434194515	11539.6098362368	4167484.08563512	69391938.4849491	1.4597962968808	38.7471349050782
DEF8	2.66825010312099	4.71701990103091	915.424325282622	11521.7034243103	5210324.92096138	72319773.0217562	1.51611489658646	38.6872063199276
AATBC	5.55791251181164	4.26717564214688	485.445741130561	11513.1170715648	677183.191242047	48920718.458385	1.09910766974366	38.656979104032
KCNMB1	10.4850942749664	4.26332509665104	256.015102700208	11444.2246955064	7201097.87688349	65750523.223658	1.45110122482683	38.4268666853515
NUCB1	2.88221919625415	3.05247465469315	1298.64553146719	11425.3548794653	23280909.1022411	53804892.3766894	1.50985398711768	38.3637118106493
ADGRE2	4.87369733697431	5.4182828061521	431.244066945146	11387.8924713328	22422685.0353704	55584669.1080106	1.52282908671989	38.2379818497321
C1ORF122	2.01019121366441	3.38763568428047	1668.46893279728	11361.9322098248	22676645.9955343	54825339.9661736	1.51571904812216	38.150800914127
ABHD4	3.66844982000519	5.81045123171289	526.091668344986	11213.8273984613	4717771.24619769	69084275.4294304	1.4632616005236	37.6533886408653
FMNL1	4.04446139968888	3.08071344493454	894.97660908255	11151.2533705529	16654633.0814754	45759717.2103971	1.29692533380409	37.4427487754028
PPM1M	4.48168452956383	8.03738145183171	308.069042446477	11096.9574766748	2976639.57044619	68462406.2073825	1.42937404420994	37.2609044244321
TMEM140	2.10151105751037	2.86041509208781	1844.6286506339	11088.4205756339	590363.978547685	21829177.0198225	0.620505710648284	37.2295276284961
GPX4	2.67907272035456	3.89367945543188	1057.01193576429	11026.1675916044	4209032.13809816	38890353.7090997	0.99339894959492	37.0217759813662
